Voltage,Current,Temperature,Capacity,StandardDeviation,DCResistance,MeanofVariables,StateofCharge
4.11216,-0.15069,23.87099,2.89607,11.42595088,-0.006590538,6.9840975,96.53566667
4.11115,-0.15325,23.87099,2.89354,11.42606074,-0.005640719,6.9838375,96.45133333
4.1103,-0.15069,23.76583,2.891,11.37328474,-0.005574358,6.95861,96.36666667
4.10946,-0.15069,23.87099,2.88846,11.42465043,-0.00548124,6.985325,96.282
4.10862,-0.15325,23.97615,2.88593,11.47655937,-0.004437194,7.0113975,96.19766667
4.10794,-0.15325,23.97615,2.8834,11.47610994,-0.00548124,7.01186,96.11333333
4.1071,-0.15325,23.76583,2.88085,11.37204928,-0.00548124,6.9597075,96.02833333
4.10626,-0.15325,23.76583,2.87831,11.37161031,-0.004437194,6.9601325,95.94366667
4.10558,-0.15325,23.87099,2.87577,11.42296636,-0.005574358,6.9868875,95.859
4.10474,-0.15069,24.0813,2.87323,11.52562981,-0.004371941,7.04053,95.77433333
4.10407,-0.15325,23.97615,2.87069,11.47389289,-0.004437194,7.01407,95.68966667
4.10339,-0.15325,23.76583,2.86816,11.36981709,-0.00548124,6.9619525,95.60533333
4.10255,-0.15325,23.76583,2.86562,11.36937896,-0.003327896,6.9623775,95.52066667
4.10204,-0.15325,24.18646,2.86307,11.57619359,-0.004446214,7.068045,95.43566667
4.10137,-0.15069,23.97615,2.86053,11.47155707,-0.004371941,7.016575,95.351
4.1007,-0.15325,23.66067,2.85801,11.3162058,-0.004512575,6.9375275,95.267
4.10002,-0.15069,23.55551,2.85547,11.26342009,-0.004371941,6.9123425,95.18233333
4.09935,-0.15325,23.76583,2.85293,11.36710885,-0.004437194,6.96475,95.09766667
4.09867,-0.15325,24.0813,2.8504,11.52211958,-0.003262643,7.04408,95.01333333
4.09817,-0.15325,23.97615,2.84786,11.46983171,-0.003384432,7.0183025,94.92866667
4.09766,-0.15069,23.87099,2.84532,11.41701168,-0.004371941,6.99316,94.844
4.09699,-0.15325,23.66067,2.84277,11.313468,-0.003384432,6.94041,94.759
4.09648,-0.15069,23.76583,2.84024,11.36428028,-0.00331807,6.967845,94.67466667
4.09598,-0.15069,23.76583,2.8377,11.36381525,-0.004437194,6.968355,94.59
4.0953,-0.15325,23.97615,2.83517,11.46754496,-0.00331807,7.0207575,94.50566667
4.0948,-0.15069,23.87099,2.83264,11.41472369,-0.003327896,6.995615,94.42133333
4.09429,-0.15325,23.87099,2.8301,11.41479485,-0.00331807,6.9954825,94.33666667
4.09379,-0.15069,23.76583,2.82756,11.3619766,-0.003384432,6.9703425,94.252
4.09328,-0.15069,23.87099,2.82503,11.41333568,-0.003384432,6.9971375,94.16766667
4.09277,-0.15069,23.87099,2.8225,11.41287491,-0.003262643,6.9976425,94.08333333
4.09227,-0.15325,23.87099,2.81998,11.41295003,-0.002218597,6.9975075,93.99933333
4.09193,-0.15325,23.87099,2.81746,11.41247718,-0.003262643,6.9980525,93.91533333
4.09143,-0.15325,23.87099,2.81493,11.41201605,-0.003327896,6.99856,93.831
4.09092,-0.15325,23.97615,2.81239,11.46338354,-0.003384432,7.0253575,93.74633333
4.09041,-0.15069,23.87099,2.80985,11.41055713,-0.002153344,7.000215,93.66166667
4.09008,-0.15325,23.97615,2.80732,11.46244743,-0.003327896,7.026415,93.57733333
4.08957,-0.15325,23.76583,2.80478,11.35833089,-0.002256288,6.9743425,93.49266667
4.08923,-0.15069,23.87099,2.80224,11.40914412,-0.00331807,7.0018225,93.408
4.08873,-0.15069,23.87099,2.79971,11.4086838,-0.002256288,7.00233,93.32366667
4.08839,-0.15069,23.87099,2.79717,11.40820802,-0.002256288,7.00288,93.239
4.08805,-0.15069,23.76583,2.79463,11.35590569,-0.00331807,6.97714,93.15433333
4.08755,-0.15069,23.87099,2.7921,11.40727248,-0.002256288,7.0039375,93.07
4.08721,-0.15069,23.76583,2.78956,11.35496943,-0.002256288,6.9781975,92.98533333
4.08687,-0.15069,23.87099,2.78703,11.40632386,-0.003262643,7.005035,92.901
4.08637,-0.15325,23.76583,2.78449,11.35456966,-0.002256288,6.978615,92.81633333
4.08603,-0.15069,23.87099,2.78196,11.40538945,-0.002256288,7.0060925,92.732
4.08569,-0.15069,23.87099,2.77942,11.40491463,-0.002153344,7.0066425,92.64733333
4.08536,-0.15325,23.87099,2.77689,11.40497672,-0.002218597,7.0065525,92.563
4.08502,-0.15325,23.87099,2.77435,11.40450223,-0.003384432,7.0071025,92.47833333
4.08451,-0.15069,23.87099,2.77182,11.40350863,-0.002153344,7.0082475,92.394
4.08418,-0.15325,23.87099,2.76928,11.40356934,-0.002256288,7.00816,92.30933333
4.08384,-0.15069,23.76583,2.76674,11.35072736,-0.001109299,6.98306,92.22466667
4.08367,-0.15325,23.87099,2.76422,11.40261076,-0.003262643,7.0092975,92.14066667
4.08317,-0.15325,23.76583,2.76168,11.35031818,-0.001128144,6.9835175,92.056
4.083,-0.15069,23.76583,2.75915,11.34929499,-0.002256288,6.9847475,91.97166667
4.08266,-0.15069,23.87099,2.75662,11.40065672,-0.002218597,7.011585,91.88733333
4.08232,-0.15325,23.76583,2.75409,11.34888766,-0.002153344,6.9852025,91.803
4.08199,-0.15325,23.76583,2.75156,11.34841507,-0.002218597,6.9857525,91.71866667
4.08165,-0.15325,23.87099,2.74902,11.3997762,-0.002256288,7.0125925,91.634
4.08131,-0.15069,23.87099,2.74649,11.3987688,-0.002153344,7.01378,91.54966667
4.08098,-0.15325,23.87099,2.74395,11.3988315,-0.002256288,7.0136925,91.465
4.08064,-0.15069,23.76583,2.74143,11.34598965,-0.002218597,6.9885875,91.381
4.0803,-0.15325,23.87099,2.73891,11.39789412,-0.002256288,7.0147825,91.297
4.07996,-0.15069,23.87099,2.73639,11.39688898,-0.001061782,7.0159675,91.213
4.0798,-0.15069,23.97615,2.73385,11.44824579,-0.002256288,7.0428525,91.12833333
4.07946,-0.15069,23.97615,2.73132,11.44777598,-0.002256288,7.0434,91.044
4.07912,-0.15069,23.76583,2.72879,11.34362199,-0.002218597,6.9913675,90.95966667
4.07878,-0.15325,23.76583,2.72626,11.34368894,-0.001061782,6.991275,90.87533333
4.07862,-0.15069,23.97615,2.72371,11.44634789,-0.002256288,7.0450925,90.79033333
4.07828,-0.15069,24.18646,2.72117,11.54958527,-0.002256288,7.09822,90.70566667
4.07794,-0.15069,23.66067,2.71863,11.28988404,-0.001128144,6.9673225,90.621
4.07777,-0.15069,23.66067,2.71609,11.2893972,-0.002153344,6.967915,90.53633333
4.07744,-0.15325,23.97615,2.71355,11.44498496,-0.002256288,7.0466975,90.45166667
4.0771,-0.15069,24.0813,2.71102,11.49582975,-0.001128144,7.0741725,90.36733333
4.07693,-0.15069,23.87099,2.70849,11.39164721,-0.002218597,7.022185,90.283
4.07659,-0.15325,23.55551,2.70596,11.23620974,-0.002189926,6.9432225,90.19866667
4.07626,-0.15069,23.66067,2.70343,11.28702926,-0.001128144,6.9707025,90.11433333
4.07609,-0.15069,23.87099,2.70089,11.3902234,-0.002218597,7.023875,90.02966667
4.07575,-0.15325,24.0813,2.69835,11.49399265,-0.001128144,7.0763625,89.945
4.07558,-0.15069,23.97615,2.69582,11.44112094,-0.002256288,7.051305,89.86066667
4.07524,-0.15069,23.87099,2.69328,11.38879969,-0.002153344,7.025565,89.776
4.07491,-0.15325,23.55551,2.69075,11.2333548,-0.002218597,6.946605,89.69166667
4.07457,-0.15325,23.66067,2.68822,11.28471705,-0.001109299,6.9734425,89.60733333
4.0744,-0.15325,23.76583,2.68568,11.33607065,-0.002256288,7.000325,89.52266667
4.07406,-0.15069,23.97615,2.68314,11.43876183,-0.002189926,7.054095,89.438
4.07373,-0.15069,23.97615,2.68061,11.43829384,-0.001109299,7.054645,89.35366667
4.07356,-0.15325,23.87099,2.67808,11.38649621,-0.002256288,7.028305,89.26933333
4.07322,-0.15069,23.66067,2.67554,11.28180004,-0.002218597,6.976915,89.18466667
4.07288,-0.15325,23.76583,2.67301,11.33371219,-0.002189926,7.0031125,89.10033333
4.07255,-0.15069,23.76583,2.67047,11.33270316,-0.001128144,7.004305,89.01566667
4.07238,-0.15069,23.87099,2.66793,11.38406825,-0.002218597,7.0311875,88.931
4.07204,-0.15325,23.97615,2.6654,11.43599564,-0.002218597,7.057385,88.84666667
4.0717,-0.15325,23.97615,2.66287,11.43552953,-0.002153344,7.0579325,88.76233333
4.07137,-0.15325,23.87099,2.66033,11.38320418,-0.001128144,7.032195,88.67766667
4.0712,-0.15069,23.87099,2.65779,11.38218255,-0.002218597,7.0334275,88.593
4.07086,-0.15325,23.87099,2.65526,11.38225506,-0.002256288,7.033335,88.50866667
4.07052,-0.15069,23.87099,2.65272,11.38124831,-0.002153344,7.034525,88.424
4.07019,-0.15325,23.76583,2.65018,11.32946683,-0.002218597,7.0081475,88.33933333
4.06985,-0.15325,23.87099,2.64764,11.38085072,-0.002218597,7.0349875,88.25466667
4.06951,-0.15325,23.87099,2.64511,11.38038512,-0.002153344,7.035535,88.17033333
4.06918,-0.15325,23.87099,2.64258,11.3799188,-0.002256288,7.036085,88.086
4.06884,-0.15069,23.87099,2.64004,11.37891242,-0.002256288,7.037275,88.00133333
4.0685,-0.15069,23.87099,2.63751,11.37844717,-0.002256288,7.0378225,87.917
4.06816,-0.15069,23.87099,2.63498,11.37798206,-0.002153344,7.03837,87.83266667
4.06783,-0.15325,23.87099,2.63244,11.37805356,-0.002218597,7.0382825,87.748
4.06749,-0.15325,23.97615,2.6299,11.42944851,-0.002218597,7.0651225,87.66333333
4.06715,-0.15325,23.87099,2.62737,11.37712219,-0.002189926,7.03938,87.579
4.06682,-0.15069,23.87099,2.62483,11.37611539,-0.003327896,7.0405725,87.49433333
4.06631,-0.15325,23.97615,2.62228,11.42806445,-0.002256288,7.0667325,87.40933333
4.06597,-0.15069,23.87099,2.61975,11.37519759,-0.002153344,7.04163,87.325
4.06564,-0.15325,23.87099,2.61722,11.37527225,-0.003327896,7.04154,87.24066667
4.06513,-0.15325,23.87099,2.61468,11.37482118,-0.002218597,7.0420475,87.156
4.06479,-0.15325,23.97615,2.61214,11.42622022,-0.003262643,7.0688875,87.07133333
4.06429,-0.15325,23.87099,2.60961,11.37390573,-0.002256288,7.043105,86.987
4.06395,-0.15069,23.76583,2.60707,11.32104073,-0.003384432,7.018005,86.90233333
4.06344,-0.15069,23.87099,2.60454,11.37245175,-0.00331807,7.0448,86.818
4.06294,-0.15069,24.0813,2.602,11.47573636,-0.002218597,7.0978875,86.73333333
4.0626,-0.15325,23.97615,2.59947,11.4239445,-0.00331807,7.0715075,86.649
4.0621,-0.15069,23.87099,2.59693,11.37108633,-0.003384432,7.0463675,86.56433333
4.06159,-0.15069,23.66067,2.5944,11.266921,-0.00331807,6.9942925,86.48
4.06109,-0.15069,23.76583,2.59186,11.31832517,-0.003384432,7.0210925,86.39533333
4.06058,-0.15069,24.0813,2.58932,11.47347855,-0.003327896,7.1004675,86.31066667
4.06007,-0.15325,23.97615,2.58679,11.42170032,-0.004371941,7.074045,86.22633333
4.0594,-0.15325,23.87099,2.58424,11.36939358,-0.003384432,7.048225,86.14133333
4.05889,-0.15069,23.66067,2.5817,11.26468159,-0.00331807,6.9967925,86.05666667
4.05839,-0.15069,23.87099,2.57916,11.36795399,-0.004437194,7.0498825,85.972
4.05771,-0.15325,24.0813,2.57663,11.4718072,-0.00331807,7.1022825,85.88766667
4.05721,-0.15069,23.97615,2.57409,11.41894483,-0.004437194,7.077145,85.803
4.05653,-0.15325,23.66067,2.57156,11.26345584,-0.00331807,6.9980975,85.71866667
4.05603,-0.15069,23.87099,2.56902,11.36619124,-0.004437194,7.0518275,85.634
4.05535,-0.15325,24.18646,2.56647,11.52193184,-0.004371941,7.1305225,85.549
4.05468,-0.15325,23.66067,2.56394,11.26213609,-0.004371941,6.99954,85.46466667
4.05401,-0.15325,23.55551,2.56141,11.20984822,-0.003327896,6.973715,85.38033333
4.0535,-0.15325,24.0813,2.55887,11.46873676,-0.004446214,7.10567,85.29566667
4.05283,-0.15069,24.18646,2.55633,11.51965308,-0.004437194,7.1330675,85.211
4.05215,-0.15325,23.76583,2.5538,11.31225116,-0.00548124,7.0277325,85.12666667
4.05131,-0.15325,23.55551,2.55126,11.20811152,-0.004437194,6.9755775,85.042
4.05063,-0.15325,23.97615,2.54872,11.41514777,-0.004446214,7.0812025,84.95733333
4.04996,-0.15069,24.0813,2.54618,11.46605442,-0.004371941,7.1085975,84.87266667
4.04929,-0.15325,24.0813,2.54365,11.46616498,-0.004437194,7.1084225,84.78833333
4.04861,-0.15325,23.97615,2.54111,11.41385395,-0.00548124,7.0826,84.70366667
4.04777,-0.15325,23.87099,2.53858,11.36155954,-0.004512575,7.0567325,84.61933333
4.04709,-0.15069,23.66067,2.53605,11.25684694,-0.004371941,7.005255,84.535
4.04642,-0.15325,23.76583,2.53351,11.30882387,-0.005574358,7.0313725,84.45033333
4.04558,-0.15069,23.87099,2.53097,11.35973946,-0.004437194,7.0587275,84.36566667
4.0449,-0.15325,23.87099,2.52844,11.35985213,-0.00548124,7.05855,84.28133333
4.04406,-0.15325,23.97615,2.52591,11.41131979,-0.005574358,7.0852625,84.197
4.04322,-0.15069,23.87099,2.52337,11.35847932,-0.004437194,7.0600375,84.11233333
4.04254,-0.15325,23.87099,2.52083,11.35859071,-0.00548124,7.0598625,84.02766667
4.0417,-0.15325,23.87099,2.51829,11.35817465,-0.00548124,7.0602875,83.943
4.04086,-0.15325,23.87099,2.51576,11.3577607,-0.004512575,7.06071,83.85866667
4.04018,-0.15069,23.87099,2.51322,11.3567888,-0.00548124,7.061815,83.774
4.03934,-0.15325,23.97615,2.51068,11.40880095,-0.005574358,7.08789,83.68933333
4.0385,-0.15069,23.87099,2.50815,11.35595972,-0.00548124,7.0626625,83.605
4.03766,-0.15325,23.87099,2.50562,11.35608855,-0.005546493,7.062445,83.52066667
4.03681,-0.15325,23.87099,2.50308,11.35567442,-0.00548124,7.0628675,83.436
4.03597,-0.15325,23.97615,2.50054,11.40714759,-0.005574358,7.0895825,83.35133333
4.03513,-0.15069,23.97615,2.49801,11.40619361,-0.005640719,7.090645,83.267
4.03428,-0.15069,23.87099,2.49547,11.35389085,-0.00548124,7.0647775,83.18233333
4.03344,-0.15325,23.97615,2.49293,11.40590864,-0.005574358,7.0908525,83.09766667
4.0326,-0.15069,23.97615,2.49039,11.40495311,-0.005574358,7.0919175,83.013
4.03176,-0.15069,23.87099,2.48785,11.35264823,-0.005546493,7.0660525,82.92833333
4.03091,-0.15325,23.87099,2.4853,11.35277591,-0.005574358,7.0658375,82.84333333
4.03007,-0.15069,23.97615,2.48276,11.40371224,-0.006590538,7.0931925,82.75866667
4.02906,-0.15325,23.87099,2.48023,11.3519659,-0.00548124,7.0666425,82.67433333
4.02822,-0.15325,23.87099,2.47769,11.35155263,-0.005640719,7.0670675,82.58966667
4.02737,-0.15069,23.97615,2.47516,11.40249393,-0.00548124,7.0944175,82.50533333
4.02653,-0.15325,23.87099,2.47262,11.35072941,-0.006590538,7.0679125,82.42066667
4.02552,-0.15325,23.87099,2.47009,11.35033376,-0.00548124,7.0682925,82.33633333
4.02468,-0.15325,23.87099,2.46755,11.34992119,-0.005546493,7.0687175,82.25166667
4.02383,-0.15325,23.87099,2.46501,11.34950968,-0.006702502,7.06914,82.167
4.02282,-0.15069,23.87099,2.46248,11.34857157,-0.00548124,7.07016,82.08266667
4.02198,-0.15325,23.97615,2.45993,11.40059803,-0.006590538,7.0962375,81.99766667
4.02097,-0.15325,23.87099,2.4574,11.34830589,-0.00548124,7.0703275,81.91333333
4.02013,-0.15325,23.97615,2.45486,11.39979281,-0.006655791,7.0970425,81.82866667
4.01911,-0.15325,23.87099,2.45233,11.34750074,-0.005574358,7.07113,81.74433333
4.01827,-0.15069,23.87099,2.44979,11.34654613,-0.00548124,7.072195,81.65966667
4.01743,-0.15325,23.87099,2.44725,11.34667824,-0.006702502,7.07198,81.575
4.01642,-0.15069,23.87099,2.44472,11.34574106,-0.006702502,7.073,81.49066667
4.01541,-0.15069,23.87099,2.44218,11.34534547,-0.005546493,7.0733825,81.406
4.01456,-0.15325,23.97615,2.43964,11.39738134,-0.006590538,7.099455,81.32133333
4.01355,-0.15325,23.97615,2.43711,11.39698871,-0.00548124,7.099835,81.237
4.01271,-0.15325,23.97615,2.43457,11.396579,-0.006590538,7.10026,81.15233333
4.0117,-0.15325,23.87099,2.43203,11.34428083,-0.005546493,7.0743525,81.06766667
4.01085,-0.15325,23.87099,2.42949,11.34387182,-0.006590538,7.074775,80.983
4.00984,-0.15325,23.97615,2.42696,11.39538447,-0.006702502,7.101445,80.89866667
4.00883,-0.15069,23.87099,2.42442,11.3425413,-0.00548124,7.0761775,80.814
4.00799,-0.15325,23.87099,2.42189,11.34267759,-0.006702502,7.07596,80.72966667
4.00698,-0.15069,23.87099,2.41935,11.34173986,-0.006702502,7.0769825,80.645
4.00597,-0.15069,23.87099,2.41682,11.34134804,-0.006590538,7.0773625,80.56066667
4.00496,-0.15325,23.87099,2.41428,11.34149845,-0.005640719,7.077105,80.476
4.00411,-0.15069,23.76583,2.41175,11.28864553,-0.006590538,7.051875,80.39166667
4.0031,-0.15325,23.87099,2.40921,11.34069947,-0.006702502,7.0779075,80.307
4.00209,-0.15069,23.87099,2.40667,11.33976243,-0.00548124,7.07893,80.22233333
4.00125,-0.15325,23.87099,2.40413,11.33989841,-0.006590538,7.078715,80.13766667
4.00024,-0.15325,23.97615,2.4016,11.39141889,-0.006655791,7.105385,80.05333333
3.99922,-0.15325,23.97615,2.39906,11.39102803,-0.00548124,7.105765,79.96866667
3.99838,-0.15325,23.87099,2.39653,11.33871059,-0.006702502,7.0798975,79.88433333
3.99737,-0.15069,23.87099,2.39399,11.33777424,-0.006702502,7.08092,79.79966667
3.99636,-0.15069,23.97615,2.39146,11.38929831,-0.006590538,7.10759,79.71533333
3.99535,-0.15325,23.87099,2.38892,11.33753703,-0.007830646,7.0810425,79.63066667
3.99417,-0.15069,23.97615,2.38639,11.38853376,-0.004437194,7.10831,79.54633333
3.99349,-0.15325,23.87099,2.38385,11.33674171,-0.006702502,7.081845,79.46166667
3.99248,-0.15069,23.97615,2.38132,11.38772436,-0.006590538,7.109155,79.37733333
3.99147,-0.15325,23.87099,2.37879,11.33596356,-0.00548124,7.082605,79.293
3.99063,-0.15325,23.87099,2.37625,11.33555741,-0.006590538,7.08303,79.20833333
3.98962,-0.15325,23.87099,2.37371,11.33516689,-0.005640719,7.0834125,79.12366667
3.98877,-0.15069,23.87099,2.37118,11.33421912,-0.006590538,7.0844725,79.03933333
3.98776,-0.15325,23.97615,2.36864,11.38629255,-0.006590538,7.110505,78.95466667
3.98675,-0.15325,23.87099,2.3661,11.33398381,-0.006702502,7.0845975,78.87
3.98574,-0.15069,23.87099,2.36357,11.33305102,-0.00548124,7.0856175,78.78566667
3.9849,-0.15325,23.97615,2.36103,11.38511139,-0.006702502,7.1116925,78.701
3.98389,-0.15069,23.87099,2.3585,11.33225834,-0.006655791,7.0864225,78.61666667
3.98287,-0.15325,23.87099,2.35596,11.33241507,-0.006590538,7.0861625,78.532
3.98186,-0.15325,23.87099,2.35343,11.33202795,-0.005574358,7.0865425,78.44766667
3.98102,-0.15069,23.97615,2.35089,11.3830018,-0.006590538,7.1138975,78.363
3.98001,-0.15325,23.97615,2.34835,11.3831584,-0.00548124,7.11364,78.27833333
3.97917,-0.15325,23.87099,2.34583,11.33083473,-0.006768863,7.08777,78.19433333
3.97815,-0.15069,23.97615,2.34329,11.38182715,-0.00548124,7.11508,78.10966667
3.97731,-0.15325,23.87099,2.34075,11.33004372,-0.006590538,7.088575,78.025
3.9763,-0.15325,23.87099,2.33822,11.32965771,-0.006590538,7.088955,77.94066667
3.97529,-0.15325,23.87099,2.33568,11.32927,-0.005574358,7.0893375,77.856
3.97445,-0.15069,23.87099,2.33314,11.32832138,-0.006768863,7.0904025,77.77133333
3.97343,-0.15069,23.87099,2.33061,11.32793679,-0.006590538,7.09078,77.687
3.97242,-0.15325,23.87099,2.32807,11.3280952,-0.00548124,7.0905225,77.60233333
3.97158,-0.15325,23.76583,2.32553,11.27577013,-0.006702502,7.0646575,77.51766667
3.97057,-0.15069,23.76583,2.32299,11.27483653,-0.005574358,7.06568,77.433
3.96973,-0.15069,23.87099,2.32045,11.32635788,-0.006768863,7.092395,77.34833333
3.96871,-0.15069,23.87099,2.31792,11.32597422,-0.00548124,7.0927725,77.264
3.96787,-0.15325,23.97615,2.31539,11.37805081,-0.006590538,7.118845,77.17966667
3.96686,-0.15325,23.87099,2.31286,11.3257359,-0.005574358,7.092935,77.09533333
3.96602,-0.15069,23.87099,2.31032,11.32478845,-0.006590538,7.094,77.01066667
3.96501,-0.15325,23.87099,2.30779,11.32495062,-0.005546493,7.09374,76.92633333
3.96416,-0.15325,23.87099,2.30526,11.32455228,-0.00548124,7.09416,76.842
3.96332,-0.15325,23.87099,2.30272,11.32415131,-0.006590538,7.094585,76.75733333
3.96231,-0.15325,23.87099,2.30018,11.32376619,-0.005574358,7.0949675,76.67266667
3.96147,-0.15069,23.97615,2.29764,11.37475449,-0.006590538,7.1223225,76.588
3.96046,-0.15325,23.87099,2.29511,11.32298272,-0.005546493,7.0957725,76.50366667
3.95961,-0.15325,23.87099,2.29257,11.32258339,-0.005574358,7.096195,76.419
3.95877,-0.15069,23.87099,2.29004,11.32163884,-0.006590538,7.0972575,76.33466667
3.95776,-0.15325,23.87099,2.28751,11.32180288,-0.00548124,7.0969975,76.25033333
3.95692,-0.15325,23.87099,2.28498,11.32140504,-0.005640719,7.09742,76.166
3.95607,-0.15069,23.87099,2.28245,11.32046179,-0.00548124,7.09848,76.08166667
3.95523,-0.15325,23.87099,2.27991,11.32060892,-0.005574358,7.098265,75.997
3.95439,-0.15069,23.76583,2.27738,11.26773158,-0.006702502,7.0730375,75.91266667
3.95338,-0.15069,23.87099,2.27484,11.31928168,-0.005546493,7.09971,75.828
3.95253,-0.15325,23.97615,2.2723,11.37137034,-0.006702502,7.1257825,75.74333333
3.95152,-0.15069,23.87099,2.26976,11.31850077,-0.005574358,7.100515,75.65866667
3.95068,-0.15069,23.76583,2.26723,11.26616851,-0.00548124,7.0746475,75.57433333
3.94984,-0.15325,23.76583,2.26469,11.26631701,-0.005640719,7.0744325,75.48966667
3.94899,-0.15069,23.97615,2.26216,11.36925292,-0.00548124,7.1280725,75.40533333
3.94815,-0.15325,23.87099,2.25962,11.31745932,-0.005574358,7.1015675,75.32066667
3.94731,-0.15069,23.76583,2.25708,11.26457688,-0.00548124,7.0763425,75.236
3.94647,-0.15325,23.76583,2.25454,11.2647263,-0.005546493,7.0761275,75.15133333
3.94562,-0.15325,23.97615,2.252,11.36821149,-0.005574358,7.12913,75.06666667
3.94478,-0.15069,23.97615,2.24946,11.36726811,-0.00548124,7.130195,74.982
3.94394,-0.15325,23.76583,2.24693,11.26353581,-0.005640719,7.0773975,74.89766667
3.94309,-0.15069,23.76583,2.24439,11.26259154,-0.00548124,7.07846,74.813
3.94225,-0.15325,23.97615,2.24186,11.36663022,-0.00548124,7.1308225,74.72866667
3.94141,-0.15325,24.0813,2.23932,11.4181816,-0.00548124,7.157535,74.644
3.94057,-0.15325,23.87099,2.23678,11.31389122,-0.005640719,7.1053825,74.55933333
3.93972,-0.15069,23.76583,2.23424,11.26100626,-0.005574358,7.080155,74.47466667
3.93888,-0.15069,23.87099,2.2317,11.31255242,-0.005574358,7.10687,74.39
3.93804,-0.15069,23.97615,2.22917,11.36410749,-0.005640719,7.1335825,74.30566667
3.93719,-0.15069,23.97615,2.22663,11.3637132,-0.004446214,7.134005,74.221
3.93652,-0.15069,23.87099,2.2241,11.31135403,-0.00548124,7.10818,74.13666667
3.93568,-0.15325,23.87099,2.22156,11.31150637,-0.005546493,7.107965,74.052
3.93483,-0.15325,23.87099,2.21902,11.31111216,-0.005574358,7.1083875,73.96733333
3.93399,-0.15069,23.87099,2.21649,11.31017122,-0.00548124,7.10945,73.883
3.93315,-0.15325,23.87099,2.21395,11.31032424,-0.004512575,7.109235,73.79833333
3.93247,-0.15069,23.97615,2.21142,11.36132103,-0.005574358,7.1366275,73.714
